image_path,Sampling_Date,State,Species,Pre_GSHH_NDVI,Height_Ave_cm,Dry_Clover_g,Dry_Dead_g,Dry_Green_g,Dry_Total_g,GDM_g,log_Dry_Green_g,log_Dry_Dead_g,log_Dry_Clover_g,log_GDM_g,log_Dry_Total_g,Month,month_sin,month_cos,State_encoded,Species_encoded,teacher_log_Dry_Green_g,teacher_log_Dry_Dead_g,teacher_log_Dry_Clover_g,teacher_log_GDM_g,teacher_log_Dry_Total_g
train/ID1011485656.jpg,2015-09-04,Tas,Ryegrass_Clover,-0.246318729425572,-0.2852038781404816,0.0,31.9984,16.2751,48.2735,16.275,2.8492661583489904,3.496459075442567,0.0,2.849260369653733,3.8973864111751295,9,-1.0,-1.8369701987210294e-16,1,11,2.72186,2.911285,0.88897824,2.8670676,3.5901475
train/ID1012260530.jpg,2015-04-01,NSW,Lucerne,-0.7070601252597818,0.8182396697025538,0.0,0.0,7.6,7.6,7.6,2.151762203259462,0.0,0.0,2.151762203259462,2.151762203259462,4,0.8660254037844387,-0.4999999999999998,0,3,2.8796356,1.318577,0.053372897,2.98202,3.2800899
train/ID1025234388.jpg,2015-09-01,WA,SubcloverDalkeith,-1.8260035151428635,-0.6422046155140673,6.05,0.0,0.0,6.05,6.05,0.0,0.0,1.9530276168241771,1.9530276168241771,1.9530276168241771,9,-1.0,-1.8369701987210294e-16,3,12,0.44659504,-0.36996078,1.1755778,1.9613466,1.50287
train/ID1028611175.jpg,2015-05-18,Tas,Ryegrass,0.0169620681939767,-0.2527528061229683,0.0,30.9703,24.2376,55.2079,24.2376,3.2283349459887085,3.4648073468250327,0.0,3.2283349459887085,4.029057316415711,5,0.4999999999999999,-0.8660254037844387,1,10,2.8465002,2.5042791,0.19776578,2.926907,3.507226
train/ID1035947949.jpg,2015-09-11,Tas,Ryegrass,-0.7728803246646689,-0.3987972346446304,0.4343,23.2239,10.5261,34.1844,10.9605,2.4446140290136245,3.187339749109133,0.3606769253180303,2.4816095536687053,3.560602802551782,9,-1.0,-1.8369701987210294e-16,1,10,2.3688514,2.375582,0.25083062,2.5020626,3.1360638
train/ID1036339023.jpg,2015-09-30,Vic,Phalaris_Clover,1.0700852586721703,-0.0580269014274188,23.0755,2.6135,32.191,57.88,55.2665,3.5022787548350927,1.2846768317408988,3.181194725900512,4.030099331404052,4.075501474420621,9,-1.0,-1.8369701987210294e-16,2,7,3.5125155,1.8514673,2.0710194,3.91237,4.1674185
train/ID1049634115.jpg,2015-07-02,Vic,Ryegrass_Clover,0.4118832646232993,-0.5448416631662925,1.5083,3.0167,13.575,18.1,15.0833,2.679307732236556,1.3904606699893065,0.9196052328419848,2.777781466575877,2.9496883350525844,7,-0.4999999999999997,-0.8660254037844388,2,11,3.0288417,1.3727239,1.7323567,3.3679583,3.9289215
train/ID1051144034.jpg,2015-09-01,WA,SubcloverLosa,0.9384448598623968,-0.6422046155140673,55.32,0.0,0.0,55.32,55.32,0.0,0.0,4.0310497118497866,4.0310497118497866,4.0310497118497866,9,-1.0,-1.8369701987210294e-16,3,13,0.32577,0.24211878,3.3415847,3.1148489,2.9561298
train/ID1052620238.jpg,2015-05-18,Tas,Ryegrass,0.1486024670037511,-0.2527528061229683,0.0,11.2291,20.1707,31.3998,20.1707,3.052618150259068,2.5038183574573054,0.0,3.052618150259068,3.478152249939725,5,0.4999999999999999,-0.8660254037844387,1,10,2.9767945,2.7663093,0.20850694,2.9866865,3.6134372
train/ID105271783.jpg,2015-06-30,Vic,Phalaris_Clover,1.3333660562917191,-0.350115758470743,5.2698,8.5635,27.6667,41.5,32.9365,3.35573617037542,2.257953768848452,1.835744456209445,3.5244911313300067,3.7495040759303713,6,1.2246467991473532e-16,-1.0,2,7,3.198323,1.9751319,1.3244768,3.4470143,3.7979302
train/ID1053972079.jpg,2015-09-04,Tas,Clover,-0.6412399258548945,-0.4961601869924051,21.0801,7.9393,1.3688,30.3882,22.4489,0.8623834978052445,2.1904572863435487,3.094676750384146,3.154823585476494,3.4464320261067845,9,-1.0,-1.8369701987210294e-16,1,0,1.0022899,1.8662484,2.1827724,2.4037113,2.8615975
train/ID1058383417.jpg,2015-05-19,Tas,Ryegrass_Clover,-0.246318729425572,-0.5448416631662925,0.1,9.5,13.1,22.7,13.2,2.6461747973841225,2.3513752571634776,0.0953101798043248,2.653241964607215,3.1654750481410856,5,0.4999999999999999,-0.8660254037844387,1,11,2.4094353,2.47411,0.546361,2.56095,3.4871364
train/ID1062837331.jpg,2015-09-29,Vic,Ryegrass_Clover,1.0700852586721703,0.1366990032681307,19.98,3.9623,35.4077,59.35,55.3877,3.594780290733128,1.6018693429341482,3.043569602968151,4.032251049613615,4.10016094754354,9,-1.0,-1.8369701987210294e-16,2,11,3.3250046,1.3794388,2.392322,3.7836044,3.9018805
train/ID1070112260.jpg,2015-01-15,NSW,Fescue_CrumbWeed,-0.3779591282353465,-0.1553898537751935,0.0,9.8765,22.1235,32.0,22.1235,3.140849416429808,2.38660449849762,0.0,3.140849416429808,3.49650756146648,1,0.4999999999999999,0.8660254037844387,0,2,3.0770721,2.8076022,0.12523222,3.1319451,3.629922
train/ID1078930021.jpg,2015-06-26,Vic,Phalaris_Ryegrass_Clover,1.3333660562917191,-0.2527528061229683,0.0,5.0189,32.9811,38.0,32.9811,3.5258044877033443,1.794904518372128,0.0,3.5258044877033443,3.6635616461296463,6,1.2246467991473532e-16,-1.0,2,9,2.8331013,1.8821564,0.93893725,2.8298404,3.2028804
train/ID1084819986.jpg,2015-09-04,Tas,Clover,0.2144226664086376,-0.4312483066621437,21.4551,13.0742,2.6819,37.2112,24.137,1.3034289232894352,2.644343334044496,3.111517759880932,3.224340864299259,3.643128666356928,9,-1.0,-1.8369701987210294e-16,1,0,0.36686522,2.2074788,3.3832736,3.1779852,3.5584126
train/ID1088965591.jpg,2015-04-01,NSW,Lucerne,1.530826654506381,3.447039383092472,0.0,0.3443,59.5557,59.9,59.5557,4.103563602645281,0.29587343147807,0.0,4.103563602645281,4.109233174715851,4,0.8660254037844387,-0.4999999999999998,0,3,4.2044616,0.6832186,-0.11738052,3.837183,4.189337
train/ID1098771283.jpg,2015-11-09,Tas,Clover,-1.1678015210939925,-0.4799297828360311,8.376,15.1673,0.4528,23.9961,8.8287,0.3734927288648917,2.782990683765729,2.238153232834657,2.285306677193773,3.218719812698935,11,-0.5000000000000004,0.8660254037844384,1,0,0.15193932,2.321998,2.9960642,2.8409562,3.1794906
train/ID1103883611.jpg,2015-02-24,NSW,Phalaris,-1.1678015210939925,1.7918691931803012,0.0,12.9166,82.7834,95.7,82.7834,4.42823489717336,2.633082372198119,0.0,4.42823489717336,4.571613402459248,2,0.8660254037844386,0.5000000000000001,0,5,4.4309874,1.0822152,-0.26904115,4.379865,4.2935047
train/ID1108283583.jpg,2015-08-19,Vic,Phalaris_Ryegrass_Clover,1.1359054580770578,-0.2040713299490809,5.773,7.2162,40.4108,53.4,46.1838,3.7235417163759377,2.106107815075839,1.9129441202327664,3.8540506133389454,3.996364153861897,8,-0.8660254037844384,-0.5000000000000004,2,9,3.5596864,1.7949407,1.4346781,3.5650127,3.6882892
train/ID1113121340.jpg,2015-09-30,Vic,Phalaris_Clover,0.9384448598623968,0.8182396697025538,0.2931,11.6271,82.6598,94.58,82.9529,4.426758575382459,2.535845297962683,0.2570424363196689,4.430255927298557,4.559963593150012,9,-1.0,-1.8369701987210294e-16,2,7,3.7560873,2.055733,2.784323,4.1621265,4.2386966
train/ID1113329413.jpg,2015-06-29,Tas,WhiteClover,0.4118832646232993,-0.4474787108185177,20.6523,21.1112,1.3768,43.1403,22.0291,0.8657550451662609,3.0960842674806948,3.0751116843717208,3.1367586336074,3.787373197361905,6,1.2246467991473532e-16,-1.0,1,14,0.7144197,2.6007946,2.3161633,2.3325102,3.3348408
train/ID1119739385.jpg,2015-05-18,Tas,Ryegrass,-2.4842055091917348,-0.350115758470743,0.0,3.0,6.8,9.8,6.8,2.0541237336955462,1.3862943611198906,0.0,2.0541237336955462,2.379546134130174,5,0.4999999999999999,-0.8660254037844387,1,10,1.6599054,2.3807566,0.24596573,1.6413003,2.7468882
train/ID1119761112.jpg,2015-05-07,NSW,Fescue,-1.5627227175233152,-0.350115758470743,0.0,32.4486,22.9514,55.4,22.9514,3.176026777263313,3.5100099321856493,0.0,3.176026777263313,4.032469158504013,5,0.4999999999999999,-0.8660254037844387,0,1,3.024169,2.5386255,-0.12371046,2.891834,3.5699673
train/ID1121692672.jpg,2015-02-24,NSW,Phalaris,-0.9045207234744432,2.960224621353598,0.0,1.3958,109.8042,111.2,109.8042,4.707764679731948,0.8737172043150936,0.0,4.707764679731948,4.720282993088596,2,0.8660254037844386,0.5000000000000001,0,5,4.7640085,0.86797124,-0.26334926,4.703256,4.4375525
train/ID1127246618.jpg,2015-05-18,Tas,Ryegrass,0.7409842616477352,-0.0580269014274188,3.0196,25.8824,32.3529,61.2549,35.3725,3.5071447251028727,3.2914717973835024,1.3911823951926665,3.593812994607407,4.1312372471064025,5,0.4999999999999999,-0.8660254037844387,1,10,3.187461,2.4638457,0.13557382,3.2048554,3.6551414
train/ID112966473.jpg,2015-08-14,Vic,Ryegrass_Clover,0.5435236634330737,-0.4474787108185177,11.2,2.8,19.6,33.6,30.8,3.025291075795536,1.33500106673234,2.501435951739211,3.459466289786131,3.543853682063679,8,-0.8660254037844384,-0.5000000000000004,2,11,2.8410313,1.075116,2.0009143,3.149884,3.167617
train/ID1131079710.jpg,2015-11-09,Tas,Clover,-0.575419726450008,-0.5935231393401799,15.4794,11.119,1.5261,28.1246,17.0055,0.9266766114265724,2.4947744689863502,2.8021111160515564,2.8906772667791287,3.371583177885974,11,-0.5000000000000004,0.8660254037844384,1,0,0.59163547,2.0257633,2.5543976,2.5576746,3.0280845
train/ID1136169672.jpg,2015-05-18,Tas,Ryegrass,-0.246318729425572,-0.2527528061229683,0.0,6.808,16.3107,23.1187,16.3108,2.8513248074230524,2.0551488491107914,0.0,2.8513305841802694,3.1829874732257166,5,0.4999999999999999,-0.8660254037844387,1,10,2.749048,2.6192443,0.21758297,2.8024647,3.4433784
train/ID1139866256.jpg,2015-05-07,NSW,Fescue,0.0169620681939767,0.5261508126592297,0.0,83.8407,74.0593,157.9,74.0593,4.318278467790753,4.440775380487526,0.0,4.318278467790753,5.068275073542671,5,0.4999999999999999,-0.8660254037844387,0,1,3.982203,2.5933716,-0.27622178,3.839982,4.3543715
train/ID1139918758.jpg,2015-08-21,WA,Clover,0.8726246604575096,-0.4474787108185177,58.34,0.0,0.0,58.34,58.34,0.0,0.0,4.083283614862676,4.083283614862676,4.083283614862676,8,-0.8660254037844384,-0.5000000000000004,3,0,0.57557565,0.015952423,3.683684,3.7505658,3.8478215
